Ticker,Exchange,Full ticker
BEKB,EURONEXT - EURONEXT BRUSSELS,BEKB
COLR,EURONEXT - EURONEXT BRUSSELS,COLR
PHIA,EURONEXT - EURONEXT AMSTERDAM,PHIA
BAS,XETRA,BAS.DE
BIMAS.E,BORSA ISTANBUL - EQUITY MARKET,BIMAS.E
BOSS,XETRA,BOSS.DE
DUE,XETRA,DUE.DE
HLAG,XETRA,HLAG.DE
HEN3,XETRA,HEN3.DE
RUSTA,NASDAQ STOCKHOLM AB,RUSTA
PUM,XETRA,PUM.DE
SIE,XETRA,SIE.DE
WUW,XETRA,WUW.DE
ACX,BOLSA DE MADRID,ACX
EBRO,BOLSA DE MADRID,EBRO
BNP,EURONEXT - EURONEXT PARIS,BNP
EN,EURONEXT - EURONEXT PARIS,EN
ENR,XETRA,ENR.DE
SCR,EURONEXT - EURONEXT PARIS,SCR
VCT,EURONEXT - EURONEXT PARIS,VCT
EL,EURONEXT - EURONEXT PARIS,EL
RF,EURONEXT - EURONEXT PARIS,RF
FLY,EURONEXT - EURONEXT PARIS,FLY
COV,EURONEXT - EURONEXT PARIS,COV
FII,EURONEXT - EURONEXT PARIS,FII
NK,EURONEXT - EURONEXT PARIS,NK
MC,EURONEXT - EURONEXT PARIS,MC
ML,EURONEXT - EURONEXT PARIS,ML
POM,EURONEXT - EURONEXT PARIS,POM
KER,EURONEXT - EURONEXT PARIS,KER
PUB,EURONEXT - EURONEXT PARIS,PUB
RBT,EURONEXT - EURONEXT PARIS,RBT
VIRP,EURONEXT - EURONEXT PARIS,VIRP
BAB,LONDON STOCK EXCHANGE,BAB
XTB,WARSAW STOCK EXCHANGE/EQUITIES/MAIN MARKET,XTB
BATS,LONDON STOCK EXCHANGE,BATS
BOY,LONDON STOCK EXCHANGE,BOY
BNZL,LONDON STOCK EXCHANGE,BNZL
CKN,LONDON STOCK EXCHANGE,CKN
DPLM,LONDON STOCK EXCHANGE,DPLM
HLMA,LONDON STOCK EXCHANGE,HLMA
ELM,LONDON STOCK EXCHANGE,ELM
HAS,LONDON STOCK EXCHANGE,HAS
RDC,XETRA,RDC.DE
HILS,LONDON STOCK EXCHANGE,HILS
HSBA,LONDON STOCK EXCHANGE,HSBA
KRZ,IRISH STOCK EXCHANGE - ALL MARKET,KRZ
SDR,LONDON STOCK EXCHANGE,SDR
SVT,LONDON STOCK EXCHANGE,SVT
SMIN,LONDON STOCK EXCHANGE,SMIN
STAN,LONDON STOCK EXCHANGE,STAN
TPK,LONDON STOCK EXCHANGE,TPK
WTB,LONDON STOCK EXCHANGE,WTB
OERL,SIX SWISS EXCHANGE,OERL
DAE,SIX SWISS EXCHANGE,DAE
EMSN,SIX SWISS EXCHANGE,EMSN
GF,SIX SWISS EXCHANGE,GF
HOLN,SIX SWISS EXCHANGE,HOLN
KARN,SIX SWISS EXCHANGE,KARN
IMB,LONDON STOCK EXCHANGE,IMB
DRX,LONDON STOCK EXCHANGE,DRX
TECN,SIX SWISS EXCHANGE,TECN
VONN,SIX SWISS EXCHANGE,VONN
LRE,LONDON STOCK EXCHANGE,LRE
MONC,ELECTRONIC SHARE MARKET,MONC
NEXI,ELECTRONIC SHARE MARKET,NEXI
VU,EURONEXT - EURONEXT PARIS,VU
TEL,OSLO BORS ASA,TEL
ISS,NASDAQ COPENHAGEN A/S,ISS
GALE,SIX SWISS EXCHANGE,GALE
GEN,LONDON STOCK EXCHANGE,GEN
NKT,NASDAQ COPENHAGEN A/S,NKT
DNORD,NASDAQ COPENHAGEN A/S,DNORD
SYDB,NASDAQ COPENHAGEN A/S,SYDB
TOP,NASDAQ COPENHAGEN A/S,TOP
AD,EURONEXT - EURONEXT AMSTERDAM,AD
AKZA,EURONEXT - EURONEXT AMSTERDAM,AKZA
HEIA,EURONEXT - EURONEXT AMSTERDAM,HEIA
SES,ELECTRONIC SHARE MARKET,SES
BONEX,NASDAQ STOCKHOLM AB,BONEX
SOKM.E,BORSA ISTANBUL - EQUITY MARKET,SOKM.E
BELA,ATHENS EXCHANGE S.A. CASH MARKET,BELA
ASHM,LONDON STOCK EXCHANGE,ASHM
IOS,XETRA,IOS.DE
NHY,OSLO BORS ASA,NHY
STB,OSLO BORS ASA,STB
OLT,OSLO BORS ASA,OLT
TOM,OSLO BORS ASA,TOM
PNDX B,NASDAQ STOCKHOLM AB,PNDX B
G,ELECTRONIC SHARE MARKET,G
ITM,ELECTRONIC SHARE MARKET,ITM
TIT,ELECTRONIC SHARE MARKET,TIT
AED,EURONEXT - EURONEXT BRUSSELS,AED
SEB A,NASDAQ STOCKHOLM AB,SEB A
SKA B,NASDAQ STOCKHOLM AB,SKA B
SKF B,NASDAQ STOCKHOLM AB,SKF B
TREL B,NASDAQ STOCKHOLM AB,TREL B
KESKOB,NASDAQ HELSINKI LTD,KESKOB
OUT1V,NASDAQ HELSINKI LTD,OUT1V
NOKIA,NASDAQ HELSINKI LTD,NOKIA
777,XETRA,777.DE
TIETO,NASDAQ HELSINKI LTD,TIETO
PKO,WARSAW STOCK EXCHANGE/EQUITIES/MAIN MARKET,PKO
SL,ELECTRONIC SHARE MARKET,SL
MELE,EURONEXT - EURONEXT BRUSSELS,MELE
ELISA,NASDAQ HELSINKI LTD,ELISA
NEWA B,NASDAQ STOCKHOLM AB,NEWA B
WLN,EURONEXT - EURONEXT PARIS,WLN
FRAS,LONDON STOCK EXCHANGE,FRAS
NVG,OPERADOR DE MERCADO IBERICO DE ENERGIA - PORTUGAL,NVG
SHL,XETRA,SHL.DE
PRY,ELECTRONIC SHARE MARKET,PRY
TPE,WARSAW STOCK EXCHANGE/EQUITIES/MAIN MARKET,TPE
ALM,BOLSA DE MADRID,ALM
MNDI,LONDON STOCK EXCHANGE,MNDI
FAGR,EURONEXT - EURONEXT BRUSSELS,FAGR
NETC,NASDAQ COPENHAGEN A/S,NETC
HPOL B,NASDAQ STOCKHOLM AB,HPOL B
YCA,LONDON STOCK EXCHANGE,YCA
GAW,LONDON STOCK EXCHANGE,GAW
ERF,EURONEXT - EURONEXT PARIS,ERF
MAIRE,ELECTRONIC SHARE MARKET,MAIRE
SWEC B,NASDAQ STOCKHOLM AB,SWEC B
DHER,XETRA,DHER.DE
RKT,LONDON STOCK EXCHANGE,RKT
GYC,XETRA,GYC.DE
BAVA,NASDAQ COPENHAGEN A/S,BAVA
HMS,NASDAQ STOCKHOLM AB,HMS
TFF,EURONEXT - EURONEXT PARIS,TFF
MVV1,XETRA,MVV1.DE
TITC,EURONEXT - EURONEXT BRUSSELS,TITC
O2D,XETRA,O2D.DE
PKTM,SIX SWISS EXCHANGE,PKTM
ANOD B,NASDAQ STOCKHOLM AB,ANOD B
BPE,ELECTRONIC SHARE MARKET,BPE
GCO,BOLSA DE MADRID,GCO
VIT B,NASDAQ STOCKHOLM AB,VIT B
MNG,LONDON STOCK EXCHANGE,MNG
AEVS,SIX SWISS EXCHANGE,AEVS
