BEKB,EURONEXT - EURONEXT BRUSSELS
COLR,EURONEXT - EURONEXT BRUSSELS
PHIA,EURONEXT - EURONEXT AMSTERDAM
BAS,XETRA
BIMAS.E,BORSA ISTANBUL - EQUITY MARKET
BOSS,XETRA
DUE,XETRA
HLAG,XETRA
HEN3,XETRA
RUSTA,NASDAQ STOCKHOLM AB
PUM,XETRA
SIE,XETRA
WUW,XETRA
ACX,BOLSA DE MADRID
EBRO,BOLSA DE MADRID
BNP,EURONEXT - EURONEXT PARIS
EN,EURONEXT - EURONEXT PARIS
ENR,XETRA
SCR,EURONEXT - EURONEXT PARIS
VCT,EURONEXT - EURONEXT PARIS
EL,EURONEXT - EURONEXT PARIS
RF,EURONEXT - EURONEXT PARIS
FLY,EURONEXT - EURONEXT PARIS
COV,EURONEXT - EURONEXT PARIS
FII,EURONEXT - EURONEXT PARIS
NK,EURONEXT - EURONEXT PARIS
MC,EURONEXT - EURONEXT PARIS
ML,EURONEXT - EURONEXT PARIS
POM,EURONEXT - EURONEXT PARIS
KER,EURONEXT - EURONEXT PARIS
PUB,EURONEXT - EURONEXT PARIS
RBT,EURONEXT - EURONEXT PARIS
VIRP,EURONEXT - EURONEXT PARIS
BAB,LONDON STOCK EXCHANGE
XTB,WARSAW STOCK EXCHANGE/EQUITIES/MAIN MARKET
BATS,LONDON STOCK EXCHANGE
BOY,LONDON STOCK EXCHANGE
BNZL,LONDON STOCK EXCHANGE
CKN,LONDON STOCK EXCHANGE
DPLM,LONDON STOCK EXCHANGE
HLMA,LONDON STOCK EXCHANGE
ELM,LONDON STOCK EXCHANGE
HAS,LONDON STOCK EXCHANGE
RDC,XETRA
HILS,LONDON STOCK EXCHANGE
HSBA,LONDON STOCK EXCHANGE
KRZ,IRISH STOCK EXCHANGE - ALL MARKET
SDR,LONDON STOCK EXCHANGE
SVT,LONDON STOCK EXCHANGE
SMIN,LONDON STOCK EXCHANGE
STAN,LONDON STOCK EXCHANGE
TPK,LONDON STOCK EXCHANGE
WTB,LONDON STOCK EXCHANGE
OERL,SIX SWISS EXCHANGE
DAE,SIX SWISS EXCHANGE
EMSN,SIX SWISS EXCHANGE
GF,SIX SWISS EXCHANGE
HOLN,SIX SWISS EXCHANGE
KARN,SIX SWISS EXCHANGE
IMB,LONDON STOCK EXCHANGE
DRX,LONDON STOCK EXCHANGE
TECN,SIX SWISS EXCHANGE
VONN,SIX SWISS EXCHANGE
