Ticker,Last traded price
MSFT,410.34
AAPL,182.52
NVDA,788.17
AMZN,174.99
GOOG,145.29
GOOGL,143.96
META,484.03
BRK.A,628930.0
BRK.B,417.22
LLY,769.54
TSLA,191.97
AVGO,1296.37
TSM,129.53
V,283.6
JPM,183.99
UNH,527.24
WMT,58.52
MA,473.42
NVO,123.45
XOM,103.84
JNJ,161.84
TM,235.0
ASML,933.25
PG,161.03
HD,371.96
MRK,129.45
COST,737.93
ABBV,178.09
ORCL,111.95
AMD,176.52
CVX,154.66
CRM,292.8
BAC,33.92
KO,61.2
NFLX,583.56
ACN,377.32
ADBE,553.44
NVS,103.9
PEP,169.6
SAP,184.22
LIN,447.56
TMO,564.71
MCD,297.75
ABT,119.46
SHEL,63.93
DIS,107.74
AZN,65.83
CSCO,48.86
TMUS,164.34
BABA,75.96
WFC,53.86
DHR,253.84
INTU,659.81
INTC,42.99
PDD,127.69
QCOM,154.91
VZ,40.66
IBM,185.72
CMCSA,41.9
AMAT,197.16
GE,153.33
UBER,78.2
CAT,323.88
NKE,105.63
NOW,770.97
BX,125.11
PFE,27.76
UNP,256.91
AXP,214.56
AMGN,289.18
TTE,64.51
TXN,163.69
BHP,58.31
HSBC,38.2
PM,91.56
MS,86.55
RY,98.66
ISRG,389.77
SPGI,438.27
BKNG,3505.96
SYK,355.03
LOW,232.56
ARM,133.34
COP,111.51
HON,200.63
HDB,54.0
UPS,148.63
GS,391.05
UL,50.66
LRCX,928.5
PLD,133.21
BA,200.83
MUFG,10.01
SNY,48.77
BLK,813.59
ELV,514.09
RTX,90.01
T,16.8
SCHW,64.44
NEE PR R,0.0
NEE,56.78
ETN,284.93
PBR.A,16.79
PBR,17.36
MDT,85.67
TJX,99.38
PGR,191.3
RIO,65.98
SONY,87.91
VRTX,430.11
BUD,63.37
SBUX,95.62
TD,60.44
C,55.93
REGN,981.2
ADP,255.87
BMY,51.66
LMT,431.12
CB,256.01
BP,35.38
ABNB,152.66
MMC,203.65
CI,344.24
DE,364.66
MDLZ,73.98
BSX,67.0
CVS,77.2
UBS,28.05
SHOP,76.24
ADI,190.11
MU,86.0
KLAC,668.82
MELI,1629.32
GILD,73.55
FI,150.76
ZTS,197.21
IBN,25.63
SNPS,575.65
AMT,189.93
GSK,42.22
PANW,282.09
KKR,95.8
DEO,152.29
CNI,131.61
ANET,267.66
INFY,20.11
EQIX,882.29
WM,208.05
CDNS,303.53
STLA,26.51
HCA,315.36
SHW,322.03
WDAY,305.88
CP,86.52
RACE,416.07
ICE,138.38
CME,217.96
ITW,260.13
EQNR,25.21
CRWD,311.49
GD,273.75
SNOW,229.34
CSX,38.33
ENB,34.8
SO,67.69
MAR,251.48
MO,41.13
CMG,2646.72
CNQ,65.32
TRI,158.29
DUK,92.73
CL,86.25
BDX,246.2
SLB,48.82
NTES,108.65
MCO,385.51
TGT,151.48
BMO,94.92
NOC,461.1
PH,531.07
EOG,111.86
BTI,30.5
BN,41.25
MCK,516.24
TDG,1199.89
SAN,4.1
HMC,35.82
PSX,147.11
USB,41.36
SCCO,82.03
TT,281.82
APH,107.47
CTAS,633.1
APO,111.61
ITUB,6.85
ECL,222.34
PYPL,59.16
AON,315.32
ORLY,1058.02
DELL,90.35
NXPI,238.85
MPC,169.54
VALE,13.47
FDX,243.46
MRVL,67.58
EMR,105.91
EPD,27.68
ROP,556.87
AMX,19.24
BBVA,10.23
PCAR,110.78
PNC,146.12
NSC,258.01
RSG,184.98
BNS,47.59
MNST,55.29
FCX,38.96
LULU,457.89
MSI,330.27
ADSK,257.2
PXD,232.48
SMCI,860.01
CRH,79.12
WELL,93.41
EL,149.99
TEAM,204.44
OXY,60.02
AJG,245.0
EW,87.74
PLTR,22.97
E,30.8
APD,232.79
FTNT,67.64
COF,135.52
HLT,204.54
MMM,92.58
TRV,220.96
PSA,284.78
ET,14.89
MET,69.33
ROST,148.03
SPG,150.35
NU,10.22
DASH,121.76
SPOT,256.1
NGG,66.64
CARR,54.2
AIG,71.32
F,12.14
DHI,146.1
AZO,2756.34
ODFL,440.22
VLO,141.58
GWW,958.93
TFC,35.24
IDXX,576.29
CPRT,51.38
CCI,108.69
COR,237.27
TAK,14.62
MFG,3.7
AFL,80.41
HES,149.11
NUE,189.99
IBKR,106.72
O,52.94
GM,39.63
MCHP,82.84
DXCM,116.26
STZ,247.23
IQV,247.26
SRE,71.97
PAYX,124.64
MSCI,568.97
HUM,362.91
TEL,143.11
URI,658.23
KHC,36.05
WCN,170.15
CM,46.95
SU,33.91
CHTR,299.42
FMX,118.83
AEP,82.45
DDOG,129.51
OKE,72.97
CNC,80.22
LEN,155.08
LEN.B,144.12
CEG,133.99
KDP,30.19
WMB,34.94
ALL,159.13
FERG,207.56
BK,55.64
DLR,137.84
SQ,78.92
STM,44.75
COIN,165.98
TRP,39.76
FAST,72.18
ABEV,2.56
ARES,131.9
AME,178.2
TTD,81.44
KMB,121.64
LHX,214.45
LVS,54.75
AMP,407.12
ALC,80.06
SYY,80.82
GEHC,89.07
MPLX,39.67
JCI,58.44
CTSH,79.82
HSY,193.83
DOW,56.39
PRU,108.07
A,132.03
BIDU,111.36
YUM,138.32
CTVA,54.9
EA,142.59
KMI,17.25
HLN,8.41
D,47.86
JD,23.9
FIS,64.28
MRNA,96.46
LI,34.8
LNG,157.73
OTIS,93.52
CMI,263.97
LYG,2.26
